run_file,run_id,condition_id,topic_id,run_number,round_number,turn_in_round,agent_name,turn_id,civility,relevance,logical_consistency,argument_strength,document_grounding,responsiveness,stance_differentiation,composite
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,3,6,AfD,a2c01348-d44d-4e08-9eff-94888acac8e6,3,4,3,3,3,2,4,3.143
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,4,1,CDU/CSU,95f7069c-d49b-400b-ba2e-df13e9ec4348,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,4,2,SPD,6d4517c5-42c6-41b4-818a-fed8c920f469,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,4,3,Bündnis 90/Die Grünen,d3d5f98f-7f35-40d0-bb7f-a4de4777067a,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,4,4,FDP,b933a4a8-4e4c-48f8-bea9-cfe5ce146d10,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,4,5,Die Linke,a5018718-38de-46db-bae6-1a855c6e3e15,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,4,6,AfD,4f70390c-c0d8-45c3-82bc-33d50e5d678f,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,5,1,CDU/CSU,6f11f934-9232-40ed-9aa3-ff8c2bc1c31a,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,5,2,SPD,5c60582f-6bfb-48ec-a772-1b2eec7a57bd,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,5,3,Bündnis 90/Die Grünen,73a0839c-6033-4cd1-82b2-a557303ab03d,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,5,4,FDP,7944cbb8-9ac3-4e8d-8dd5-c1e97ba1b822,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,5,5,Die Linke,b0bb9daf-61b2-48b7-bb8a-aeb48894d9c0,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,5,6,AfD,2869b404-1d4b-430e-b436-0d54cbcdf5cd,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,6,1,CDU/CSU,15ed42a5-8eae-4efc-9005-2ac4577c3886,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,6,2,SPD,3799d822-035f-4255-91f5-fb5313b7ea7c,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,6,3,Bündnis 90/Die Grünen,be11ead7-105d-4347-986f-b00f91ae50e7,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,6,4,FDP,5dc903d5-714e-4b02-baac-2794009e9944,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,6,5,Die Linke,86615169-4cfa-49d6-b7e3-e04506ea4c76,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,6,6,AfD,f3c4278b-37ba-4e77-9e59-2d9baf9a225a,3,4,4,3,3,2,4,3.286
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,7,1,CDU/CSU,9ee33e77-97a0-400a-8f18-25e39a7fdba6,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,7,2,SPD,94c3b7cc-8e99-4542-87e2-1f584d55f70d,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,7,3,Bündnis 90/Die Grünen,ad86516c-b078-4d8c-943c-f22e07e8384b,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,7,4,FDP,55b433a5-fe4a-4927-bb1b-d869feb8a6e1,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,7,5,Die Linke,07c8003d-e376-4754-8bf4-ed6c35fab979,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,7,6,AfD,9f7fc5d9-3dde-493f-9535-52b9cfde3a26,3,4,4,3,4,2,5,3.571
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,8,1,CDU/CSU,d6d420a5-8bac-4cda-9f57-c2d587e71005,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,8,2,SPD,110a48f4-d132-4098-b27f-fe014b7cc172,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,8,3,Bündnis 90/Die Grünen,91abdda9-e58d-4ecf-b99b-c36908ad7c67,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,8,4,FDP,920267b2-622f-49dc-b707-5b1160a5963b,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,8,5,Die Linke,b343f836-00c1-4eb6-8393-af2d4ba9b745,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,8,6,AfD,9f6b05dc-3a55-4d1d-a163-6324470ebdf9,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,9,1,CDU/CSU,415cb716-02f9-403d-9675-966d576a05eb,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,9,2,SPD,73bf4b72-8aad-4ed8-bacb-86d5d4a6b684,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,9,3,Bündnis 90/Die Grünen,0facd0ea-b4cd-499b-af60-01a9bd91dfe0,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,9,4,FDP,ced31821-b900-474c-a94a-8abfcb86e1d0,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,9,5,Die Linke,045a226a-5ebe-48f1-91ad-719bbeab3f45,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,9,6,AfD,a7469e43-5b08-4558-b2b3-ef91c66e54d5,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,10,1,CDU/CSU,19ca25cc-c3c5-4372-a1ec-b1834cc45e11,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,10,2,SPD,bffe2dec-fd2a-462b-88ef-bd9f2cc4e473,4,4,4,4,3,3,3,3.571
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,10,3,Bündnis 90/Die Grünen,b39e2c6d-ec01-4867-af63-691b7142734c,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,10,4,FDP,c65a83ec-168d-4daa-9b7c-1b5cac306bb0,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,10,5,Die Linke,595ea2e1-82d1-4dbe-92d2-8db157a617c6,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,10,6,AfD,7d82cd1d-c20b-4323-8da2-37c8d2103c3b,4,4,4,3,3,2,5,3.571
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,1,1,CDU/CSU,4f90b2dc-4f96-4660-8a95-805c396af62a,4,4,4,4,3,1,4,3.429
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,1,2,SPD,8bf996fd-11dd-4d8e-a604-5e8f21eef3dc,4,4,4,3,3,2,4,3.429
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,1,3,Bündnis 90/Die Grünen,d95dc126-c243-4306-89fe-e2aedb4388ab,4,4,4,4,3,4,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,1,4,FDP,ac7bb53b-ef16-4e3a-b5ba-daf121589188,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,1,5,Die Linke,caceff93-19a4-4454-a56a-47ea19c89015,5,4,4,4,3,4,5,4.143
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,1,6,AfD,e14a4d71-c568-4969-8035-b20d111b4ad2,2,4,4,3,3,2,5,3.286
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,2,1,CDU/CSU,5a130f98-0bcf-4603-a973-b1d925e006b5,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,2,2,SPD,00ff44d0-986a-47c1-b11d-936b371abb7f,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,2,3,Bündnis 90/Die Grünen,2b80f103-e645-4b52-820b-0127fa853944,4,4,4,4,4,4,4,4.0
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,2,4,FDP,d3d2de54-d2ee-4959-a7dc-fe6186035701,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,2,5,Die Linke,383bfde6-18d3-46c6-8555-f6929851c880,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,2,6,AfD,4d0138fa-9f08-46ad-a634-a802c038790f,3,4,4,3,3,2,5,3.429
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,3,1,CDU/CSU,f34b172b-721e-407a-9436-f9b20026addf,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,3,2,SPD,889dc29d-8b39-4c2e-876c-da0826fe945e,4,4,4,4,4,4,3,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,3,3,Bündnis 90/Die Grünen,2142775f-3ceb-495c-a4ff-04e10973a406,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,3,4,FDP,f2c39e2d-9e2c-404d-8b2a-7ceefe1fbabb,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,3,5,Die Linke,18c6f03f-5c86-41bc-b8a5-73197f954d61,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,3,6,AfD,a8f62cca-ee20-46ed-b354-7ba8fc993c03,3,4,4,3,3,2,5,3.429
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,4,1,CDU/CSU,12b35241-41f4-449c-b8c2-6c5673a8081f,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,4,2,SPD,9b578612-6458-4b51-b62f-faf4e19992b4,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,4,3,Bündnis 90/Die Grünen,9501fec1-7a09-41b1-b6ae-d8385869253e,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,4,4,FDP,94abded4-ef03-4afa-a144-e2a0c91c2854,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,4,5,Die Linke,65da49d4-f408-4e01-9256-aa857de0a4c5,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,4,6,AfD,26a2acac-8076-48ee-a087-fbaaad05e9a5,3,4,4,3,3,2,5,3.429
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,5,1,CDU/CSU,d9389675-489f-47e1-9c66-9670934875b1,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,5,2,SPD,58d6df69-a06f-42fb-a726-cf59db3946a2,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,5,3,Bündnis 90/Die Grünen,438f578a-1ad0-4577-b30f-8b57ec78541e,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,5,4,FDP,b834b404-164f-492c-bec3-106d9a29004f,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,5,5,Die Linke,d41f8884-3c48-41b1-b6cf-863fb6a4d6c2,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,5,6,AfD,0a40e805-6602-479f-9780-4f57d5bf8f5b,3,4,4,3,4,2,5,3.571
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,6,1,CDU/CSU,867de452-c1ca-4d7d-9ead-52d37e2338c3,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,6,2,SPD,8c66b2af-3856-4845-b59c-01cecc1335be,4,4,3,3,3,2,3,3.143
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,6,3,Bündnis 90/Die Grünen,4c938f40-7ab7-4ff6-922a-811e2537603f,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,6,4,FDP,ead1a4cf-ea0c-4db7-8094-a379a57aca74,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,6,5,Die Linke,d89efaff-0c6d-49bd-8a67-05e598672a93,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,6,6,AfD,6db580d8-3808-48a5-bba9-99fc28aaf3ea,3,4,3,3,3,2,5,3.286
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,7,1,CDU/CSU,5a1b88b8-f6bc-48ec-85da-3d6b191931c8,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,7,2,SPD,814720c5-f1ab-4195-8f41-0cdd280d11fd,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,7,3,Bündnis 90/Die Grünen,eaf783cd-69c3-4734-ac8c-39a3e9385799,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,7,4,FDP,49fa451a-a0b4-4fba-8e91-b566a4ceafa5,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,7,5,Die Linke,03796e6d-00df-4001-9fbc-2fb253d34171,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,7,6,AfD,a09df948-7960-4731-b474-b70426d1d9a9,3,4,3,3,3,2,4,3.143
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,8,1,CDU/CSU,1042c42e-7645-415b-a547-cd80eb0ee806,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,8,2,SPD,2b30d63b-d9c5-472d-a146-5707fbb6ca76,4,4,4,4,4,3,3,3.714
runs\experiment\baseline_1\migrationspolitik\run_02_20260706_172559.json,9de2e7fb-0513-405e-a3f7-3a20ce91df11,baseline_1,migrationspolitik,2,8,3,Bündnis 90/Die Grünen,fe2ae7dc-c7ea-4a90-817d-b1198dbae943,4,4,4,4,5,3,4,4.0
